,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Age,HomePlanet,CryoSleep,Destination,VIP,Transported
6410,-0.27176307888722484,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,2.4880485834624277,0.0,0.0,0.0,2.0,0.0,0
5099,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,2.0,0.0,2.0,0.0,1
5583,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,1.0,1.0,2.0,0.0,1
5575,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,0.0,1.0,2.0,0.0,1
1085,-0.3002390954032099,-0.2831917580454298,1.638982698303816,-0.2724889442963616,-0.260764834932706,0.0,2.0,0.0,2.0,0.0,0
2950,1.3086558377499464,-0.2831917580454298,2.4510415708002755,-0.2724889442963616,-0.2643781289430841,0.0,2.0,0.0,2.0,0.0,0
3618,-0.346117122012297,0.04749116081740695,-0.3025117675992904,-0.2724889442963616,-0.1884989547251442,3.0,0.0,0.0,1.0,0.0,1
428,-0.346117122012297,-0.23910070219705157,0.02018411623118031,0.2987279956802845,-0.24631165889119366,0.0,0.0,0.0,2.0,0.0,1
6603,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,1.0,1.0,0.0,2.0,0.0,1
7709,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,2.0,2.0,1.0,2.0,0.0,1
4112,1.0381336808480883,-0.2831917580454298,-0.19435545488687989,-0.0027476115296120544,-0.2643781289430841,0.0,2.0,0.0,2.0,0.0,0
3579,-0.346117122012297,0.7025582762790263,-0.3025117675992904,-0.18195292603208926,1.2513987084105256,0.0,1.0,0.0,2.0,0.0,1
7209,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,3.0,0.0,1.0,2.0,0.0,0
7711,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,2.0,2.0,1.0,2.0,0.0,1
5430,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,0.0,1.0,2.0,0.0,0
7001,1.17260375884024,0.14008237809900123,-0.3025117675992904,-0.2724889442963616,-0.11261978050720424,3.0,0.0,0.0,2.0,0.0,0
3073,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,1.329987853136249,0.0,0.0,0.0,2.0,0.0,0
2511,2.6486106149187996,0.023556016214001625,-0.29541955037224704,-0.2724889442963616,-0.2643781289430841,0.0,2.0,0.0,2.0,0.0,0
3824,0.01299708627262585,-0.2831917580454298,2.4386301906529497,-0.2696888612572604,-0.2625714819378951,0.0,2.0,0.0,2.0,0.0,1
5972,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,2.0,2.0,1.0,2.0,0.0,1
1639,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,0.0,1.0,1.0,0.0,0
1457,-0.346117122012297,-0.17611347955651124,-0.3025117675992904,3.197747302163067,-0.2643781289430841,0.0,1.0,0.0,2.0,0.0,0
7686,-0.346117122012297,-0.034392228615295485,-0.3025117675992904,-0.2668887782181592,-0.2643781289430841,0.0,1.0,0.0,0.0,0.0,0
2199,1.046043685435862,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,3.0,0.0,0.0,0.0,0.0,0
2267,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,1.0,1.0,2.0,0.0,1
6861,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,3.0,0.0,1.0,0.0,0.0,1
7614,0.9685256404756803,-0.2831917580454298,-0.3025117675992904,0.5367350540038871,-0.24631165889119366,0.0,2.0,0.0,2.0,0.0,0
1558,-0.3397891183420781,0.5375317529608108,1.1691233070121967,0.44993247979174966,-0.2625714819378951,0.0,1.0,0.0,2.0,0.0,0
2727,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,2.0,1.0,0.0,0.0,1
3665,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,2.0,1.0,2.0,0.0,1
8672,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,0.0,1.0,1.0,0.0,0
869,-0.346117122012297,-0.2831917580454298,-0.09861052232179517,-0.15488545665411094,0.17915371083082673,0.0,0.0,0.0,2.0,0.0,1
1186,-0.346117122012297,2.0019846793533733,0.2099009270545889,1.3487591353432369,4.240496178495803,0.0,1.0,0.0,0.0,0.0,0
4204,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,2.0,0.0,0.0,2.0,0.0,1
7320,-0.328715111919195,1.7947567168659957,-0.3025117675992904,0.6730057619068124,-0.2508282764041663,0.0,1.0,0.0,2.0,0.0,1
2283,-0.346117122012297,-0.2831917580454298,-0.3025117675992904,-0.2724889442963616,-0.2643781289430841,0.0,2.0,1.0,2.0,0.0,1
